"kd_ktm"|"ur_ktm"
"01"|KODAM I/BB
"02"|KODAM II/SWJ
"03"|KODAM III/SLW
"04"|KODAM IV/DIP
"05"|KODAM V/BRW
"06"|KODAM VI/MLW
"08"|KODAM XVIII/KSR
"09"|KODAM IX/UDY
"10"|KODAM IM
"12"|KODAM XII/TPR
"13"|KODAM XIII/MDK
"14"|KODAM XIV/HSN
"15"|KODAM JAYA
"16"|KODAM XV/PTM
"17"|KODAM XVII/CEN
"18"|KOPASSUS
"19"|KOSTRAD
"20"|KODIKLATAD
"21"|PUSZIAD
"22"|PUSBEKANGAD
"23"|PUSPALAD
"24"|PUSKOMLEKAD
"25"|PUSKESAD
"26"|DITAJENAD
"27"|DITTOPAD
"28"|DITKUAD
"29"|DITKUMAD
"30"|RSPAD GATOT SOEBROTO
"31"|KODAM XIX/TT
"32"|KODAM XX/TIB
"33"|KODAM XXI/RI
"34"|KODAM XXII/TB
"35"|KODAM XXIII/PW
"36"|KODAM XXIV/MT
"41"|DISJASAD
"42"|DISPENAD
"43"|DISBINTALAD
"44"|DISPSIAD
"45"|DISLITBANGAD
"46"|DISINFOLAHTAD
"47"|DISJARAHAD
"48"|DISLAIKAD
"49"|DISADAAD
"50"|DISMINPERSAD
"61"|PUSSENIF
"62"|PUSSENKAV
"63"|PUSSENARMED
"64"|PUSSENARHANUD
"65"|PUSPOMAD
"66"|PUSTERAD
"67"|PUSPENERBAD
"68"|PUSINTELAD
"69"|PUSSIBERAD
"71"|AKMIL
"72"|SESKOAD
"73"|SECAPAAD
"81"|DENMABESAD
"82"|ITJENAD
